bootstrap,dimension,model_id,theta
9,C3,qwen3_8_max,-0.02139609662740481
9,C3,glm_5_2_max,-0.010491064351169107
9,C4,kimi_k3_max,0.03126953778283261
9,C4,gpt_5_6_sol_max,-0.0069794348434790284
9,C4,gpt_5_5_xhigh,0.0015995939349799815
9,C4,claude_fable_5_max,-0.016652879583429557
9,C4,claude_opus_4_8_max,0.0050348842097660985
9,C4,gemini_3_1_pro_high,-0.00015519991593257332
9,C4,deepseek_v4_pro_max,0.10630632339126608
9,C4,deepseek_v4_flash_max,-0.10817762578169761
9,C4,qwen3_8_max,0.002117410145465748
9,C4,glm_5_2_max,-0.014362609339771747
9,C5,kimi_k3_max,-0.07011723035984474
9,C5,gpt_5_6_sol_max,-0.04974354061582634
9,C5,gpt_5_5_xhigh,0.007061144425642723
9,C5,claude_fable_5_max,0.04181199507015344
9,C5,claude_opus_4_8_max,0.012321006857811833
9,C5,gemini_3_1_pro_high,0.015506179381967392
9,C5,deepseek_v4_pro_max,
9,C5,deepseek_v4_flash_max,
9,C5,qwen3_8_max,0.0431604452400957
9,C5,glm_5_2_max,
10,C1,kimi_k3_max,0.005821833849823321
10,C1,gpt_5_6_sol_max,0.007503927870267528
10,C1,gpt_5_5_xhigh,-0.0012357364962479536
10,C1,claude_fable_5_max,-0.03832766227614151
10,C1,claude_opus_4_8_max,0.014246736759984623
10,C1,gemini_3_1_pro_high,0.013258201500193823
10,C1,deepseek_v4_pro_max,0.024763572894892397
10,C1,deepseek_v4_flash_max,0.00632256857154657
10,C1,qwen3_8_max,-0.009217337245119335
10,C1,glm_5_2_max,-0.02313610542919946
10,C2,kimi_k3_max,-0.005136263242012807
10,C2,gpt_5_6_sol_max,0.051828697147767944
10,C2,gpt_5_5_xhigh,-0.011255533075895465
10,C2,claude_fable_5_max,0.054878094895992095
10,C2,claude_opus_4_8_max,-0.017755896529274597
10,C2,gemini_3_1_pro_high,0.01727244689395034
10,C2,deepseek_v4_pro_max,-0.002249914359810226
10,C2,deepseek_v4_flash_max,-0.03972590848373299
10,C2,qwen3_8_max,-0.0012863285666340476
10,C2,glm_5_2_max,-0.046569394680350255
10,C3,kimi_k3_max,-0.010822975591433524
10,C3,gpt_5_6_sol_max,0.006869062425295306
10,C3,gpt_5_5_xhigh,0.006343623972764765
10,C3,claude_fable_5_max,-0.004881537672749155
10,C3,claude_opus_4_8_max,-0.018669991561919903
10,C3,gemini_3_1_pro_high,-0.032699896470130274
10,C3,deepseek_v4_pro_max,0.20989647919034488
10,C3,deepseek_v4_flash_max,-0.16047095965798522
10,C3,qwen3_8_max,-0.004194738417050074
10,C3,glm_5_2_max,0.008630933782863193
10,C4,kimi_k3_max,-0.012654414730825975
10,C4,gpt_5_6_sol_max,-0.004918800178744009
10,C4,gpt_5_5_xhigh,-0.0027763166759617406
10,C4,claude_fable_5_max,0.032243315079772836
10,C4,claude_opus_4_8_max,-0.04854836802522111
10,C4,gemini_3_1_pro_high,0.0069640747406055
10,C4,deepseek_v4_pro_max,-0.10509731533003024
10,C4,deepseek_v4_flash_max,0.1100438408412275
10,C4,qwen3_8_max,0.005725043779267029
10,C4,glm_5_2_max,0.01901894049991022
10,C5,kimi_k3_max,0.13854689642753132
10,C5,gpt_5_6_sol_max,-0.024060435618232633
10,C5,gpt_5_5_xhigh,-0.030973056612882115
10,C5,claude_fable_5_max,-0.02273464960575598
10,C5,claude_opus_4_8_max,0.019508131685409106
10,C5,gemini_3_1_pro_high,-0.06609770849825947
10,C5,deepseek_v4_pro_max,
10,C5,deepseek_v4_flash_max,
10,C5,qwen3_8_max,-0.014189177777810213
10,C5,glm_5_2_max,
11,C1,kimi_k3_max,-0.02158111769107777
11,C1,gpt_5_6_sol_max,0.009667770663893576
11,C1,gpt_5_5_xhigh,0.007987114652382808
11,C1,claude_fable_5_max,0.005003356224485798
11,C1,claude_opus_4_8_max,-0.025430249017176148
