bootstrap,model_id,overall_score,rank
48,gpt_5_6_sol_max,36.84382514575749,7
48,claude_opus_4_8_max,26.31226604983626,8
48,glm_5_2_max,22.488096964312163,9
48,deepseek_v4_flash_max,16.377945453449428,10
49,kimi_k3_max,68.29332398148375,1
49,gpt_5_5_xhigh,63.36372949503799,2
49,gpt_5_6_sol_max,55.73252170871986,3
49,qwen3_8_max,53.875626059336966,4
49,gemini_3_1_pro_high,42.16969240557769,5
49,claude_opus_4_8_max,34.9119093618345,6
49,claude_fable_5_max,34.806355452214305,7
49,deepseek_v4_pro_max,27.90837474590777,8
49,deepseek_v4_flash_max,22.195544179948683,9
49,glm_5_2_max,18.40127670929577,10
50,gemini_3_1_pro_high,84.1945364127971,1
50,kimi_k3_max,73.59956087880238,2
50,qwen3_8_max,60.88420000532741,3
50,claude_fable_5_max,59.45177054045718,4
50,gpt_5_6_sol_max,52.65422693142722,5
50,gpt_5_5_xhigh,46.49385044436369,6
50,claude_opus_4_8_max,37.1703962073416,7
50,glm_5_2_max,23.49143405407405,8
50,deepseek_v4_flash_max,13.848630021783231,9
50,deepseek_v4_pro_max,13.556707424883653,10
51,gpt_5_6_sol_max,86.59032237028711,1
51,kimi_k3_max,74.66769210953606,2
51,gemini_3_1_pro_high,57.05616412578112,3
51,claude_fable_5_max,55.31701751861505,4
51,qwen3_8_max,39.88134517112263,5
51,deepseek_v4_pro_max,35.109729504111925,6
51,gpt_5_5_xhigh,33.84735831341096,7
51,claude_opus_4_8_max,29.384030656953207,8
51,deepseek_v4_flash_max,24.953837640959925,9
51,glm_5_2_max,13.940789612494854,10
52,claude_opus_4_8_max,86.81615210326304,1
52,gpt_5_5_xhigh,60.69860360328413,2
52,claude_fable_5_max,47.99345368294999,3
52,qwen3_8_max,42.985691868546795,4
52,deepseek_v4_pro_max,38.03071090486573,5
52,deepseek_v4_flash_max,36.33520650650559,6
52,glm_5_2_max,32.9192592034722,7
52,kimi_k3_max,31.243147704222203,8
52,gpt_5_6_sol_max,23.08156097719414,9
52,gemini_3_1_pro_high,18.097344281451157,10
53,gemini_3_1_pro_high,75.9148942642828,1
53,qwen3_8_max,69.34652143983769,2
53,kimi_k3_max,65.6447304187148,3
53,gpt_5_5_xhigh,63.60063697816868,4
53,claude_fable_5_max,61.43811457263678,5
53,gpt_5_6_sol_max,58.85135038050606,6
53,deepseek_v4_pro_max,29.422527955430276,7
53,claude_opus_4_8_max,27.111469386365215,8
53,glm_5_2_max,21.97436540744881,9
53,deepseek_v4_flash_max,18.606375556490903,10
54,claude_fable_5_max,86.29658676889011,1
54,gemini_3_1_pro_high,78.58192675401285,2
54,gpt_5_6_sol_max,67.33995615041646,3
54,qwen3_8_max,66.41932303992186,4
54,kimi_k3_max,42.44324492799227,5
54,gpt_5_5_xhigh,32.175912220006154,6
54,deepseek_v4_flash_max,29.873764042572116,7
54,claude_opus_4_8_max,29.756333426983062,8
54,glm_5_2_max,23.860543962437696,9
54,deepseek_v4_pro_max,7.510576797155476,10
55,kimi_k3_max,77.93404196829043,1
55,claude_opus_4_8_max,77.56040141973094,2
55,gemini_3_1_pro_high,63.29677110154559,3
55,gpt_5_6_sol_max,50.039255001532446,4
55,glm_5_2_max,42.19278068583783,5
55,gpt_5_5_xhigh,39.59114614298268,6
55,deepseek_v4_flash_max,34.10937394933097,7
55,qwen3_8_max,21.04013482633939,8
55,claude_fable_5_max,19.21241715517877,9
55,deepseek_v4_pro_max,13.585071288820295,10
56,gpt_5_6_sol_max,63.181750782468704,1
56,gpt_5_5_xhigh,55.55237239474839,2
56,qwen3_8_max,53.64163320229731,3
56,claude_opus_4_8_max,52.74560076521179,4
56,kimi_k3_max,51.147054761517154,5
56,claude_fable_5_max,47.67543058715854,6
56,deepseek_v4_pro_max,21.627906633994442,7
56,deepseek_v4_flash_max,21.243191785947438,8
56,glm_5_2_max,20.171485898485816,9
56,gemini_3_1_pro_high,11.873439620315562,10
57,gpt_5_6_sol_max,81.02119212959565,1
57,gpt_5_5_xhigh,51.496685098172705,2
57,claude_fable_5_max,50.58103157237739,3
57,claude_opus_4_8_max,50.39364529132136,4
57,gemini_3_1_pro_high,49.839898494497675,5
57,qwen3_8_max,48.193203166643286,6
57,deepseek_v4_flash_max,25.55679230034115,7
57,deepseek_v4_pro_max,22.098135013512056,8
57,kimi_k3_max,20.09902592373767,9
57,glm_5_2_max,14.73539239847587,10
58,gpt_5_6_sol_max,70.6595310957247,1
58,gemini_3_1_pro_high,55.685149161622,2
58,gpt_5_5_xhigh,54.94358251887953,3
58,claude_opus_4_8_max,47.226210056386535,4
58,kimi_k3_max,40.23546530799304,5
58,claude_fable_5_max,38.44334009151498,6
58,qwen3_8_max,37.983497075190755,7
58,deepseek_v4_pro_max,28.32790079149892,8
58,glm_5_2_max,17.815694900479826,9
58,deepseek_v4_flash_max,9.738287984126083,10
59,gpt_5_6_sol_max,72.02648127285917,1
59,claude_fable_5_max,58.20990842805351,2
59,gemini_3_1_pro_high,47.806874959390484,3
59,claude_opus_4_8_max,42.515236282023,4
59,deepseek_v4_pro_max,42.00522164383577,5
59,kimi_k3_max,39.41090839524436,6
59,qwen3_8_max,35.36825602832306,7
59,gpt_5_5_xhigh,20.240979730401023,8
59,glm_5_2_max,19.20359847026807,9
59,deepseek_v4_flash_max,17.498908195416217,10
60,claude_opus_4_8_max,70.42685074736502,1
60,gemini_3_1_pro_high,66.92231071653904,2
